method,mode,period,max_lag,K,alpha,n_edges,density
digauss,log_price,0,2,4,0.02,45,0.05172413793103448
digauss,log_price,0,2,4,0.05,74,0.08505747126436781
digauss,log_price,0,2,4,0.1,104,0.11954022988505747
digauss,log_price,0,2,4,0.2,120,0.13793103448275862
digauss,log_price,0,2,4,0.3,120,0.13793103448275862
digauss,log_price,0,2,4,0.5,120,0.13793103448275862
digauss,log_price,0,3,none,0.001,5,0.005747126436781609
digauss,log_price,0,3,none,0.005,23,0.026436781609195402
digauss,log_price,0,3,none,0.01,39,0.04482758620689655
digauss,log_price,0,3,none,0.02,68,0.07816091954022988
digauss,log_price,0,3,none,0.05,114,0.1310344827586207
digauss,log_price,0,3,none,0.1,169,0.19425287356321838
digauss,log_price,0,3,none,0.2,269,0.30919540229885056
digauss,log_price,0,3,none,0.3,350,0.40229885057471265
digauss,log_price,0,3,none,0.5,511,0.5873563218390805
digauss,log_price,0,3,5,0.001,5,0.005747126436781609
digauss,log_price,0,3,5,0.005,21,0.02413793103448276
digauss,log_price,0,3,5,0.01,33,0.03793103448275862
digauss,log_price,0,3,5,0.02,50,0.05747126436781609
digauss,log_price,0,3,5,0.05,73,0.0839080459770115
digauss,log_price,0,3,5,0.1,104,0.11954022988505747
digauss,log_price,0,3,5,0.2,135,0.15517241379310345
digauss,log_price,0,3,5,0.3,148,0.17011494252873563
digauss,log_price,0,3,5,0.5,150,0.1724137931034483
digauss,log_price,0,3,4,0.001,5,0.005747126436781609
digauss,log_price,0,3,4,0.005,20,0.022988505747126436
digauss,log_price,0,3,4,0.01,31,0.035632183908045977
digauss,log_price,0,3,4,0.02,45,0.05172413793103448
digauss,log_price,0,3,4,0.05,66,0.07586206896551724
digauss,log_price,0,3,4,0.1,92,0.10574712643678161
digauss,log_price,0,3,4,0.2,113,0.12988505747126436
digauss,log_price,0,3,4,0.3,120,0.13793103448275862
digauss,log_price,0,3,4,0.5,120,0.13793103448275862
digauss,log_price,1,1,none,0.001,2,0.0022988505747126436
digauss,log_price,1,1,none,0.005,12,0.013793103448275862
digauss,log_price,1,1,none,0.01,24,0.027586206896551724
digauss,log_price,1,1,none,0.02,43,0.04942528735632184
digauss,log_price,1,1,none,0.05,94,0.10804597701149425
digauss,log_price,1,1,none,0.1,154,0.17701149425287357
digauss,log_price,1,1,none,0.2,247,0.28390804597701147
digauss,log_price,1,1,none,0.3,322,0.3701149425287356
digauss,log_price,1,1,none,0.5,497,0.5712643678160919
digauss,log_price,1,1,5,0.001,2,0.0022988505747126436
digauss,log_price,1,1,5,0.005,12,0.013793103448275862
digauss,log_price,1,1,5,0.01,24,0.027586206896551724
digauss,log_price,1,1,5,0.02,36,0.041379310344827586
digauss,log_price,1,1,5,0.05,67,0.07701149425287357
digauss,log_price,1,1,5,0.1,92,0.10574712643678161
digauss,log_price,1,1,5,0.2,118,0.135632183908046
digauss,log_price,1,1,5,0.3,133,0.1528735632183908
digauss,log_price,1,1,5,0.5,149,0.17126436781609194
digauss,log_price,1,1,4,0.001,2,0.0022988505747126436
digauss,log_price,1,1,4,0.005,12,0.013793103448275862
digauss,log_price,1,1,4,0.01,24,0.027586206896551724
digauss,log_price,1,1,4,0.02,33,0.03793103448275862
digauss,log_price,1,1,4,0.05,59,0.067816091954023
digauss,log_price,1,1,4,0.1,78,0.0896551724137931
digauss,log_price,1,1,4,0.2,100,0.11494252873563218
digauss,log_price,1,1,4,0.3,111,0.12758620689655173
digauss,log_price,1,1,4,0.5,120,0.13793103448275862
digauss,log_price,1,2,none,0.001,5,0.005747126436781609
digauss,log_price,1,2,none,0.005,9,0.010344827586206896
digauss,log_price,1,2,none,0.01,18,0.020689655172413793
digauss,log_price,1,2,none,0.02,28,0.03218390804597701
digauss,log_price,1,2,none,0.05,68,0.07816091954022988
digauss,log_price,1,2,none,0.1,111,0.12758620689655173
digauss,log_price,1,2,none,0.2,213,0.24482758620689654
digauss,log_price,1,2,none,0.3,296,0.34022988505747126
digauss,log_price,1,2,none,0.5,479,0.5505747126436782
digauss,log_price,1,2,5,0.001,5,0.005747126436781609
digauss,log_price,1,2,5,0.005,9,0.010344827586206896
digauss,log_price,1,2,5,0.01,17,0.01954022988505747
digauss,log_price,1,2,5,0.02,26,0.029885057471264367
digauss,log_price,1,2,5,0.05,59,0.067816091954023
digauss,log_price,1,2,5,0.1,88,0.10114942528735632
digauss,log_price,1,2,5,0.2,126,0.14482758620689656
digauss,log_price,1,2,5,0.3,135,0.15517241379310345
digauss,log_price,1,2,5,0.5,150,0.1724137931034483
digauss,log_price,1,2,4,0.001,4,0.004597701149425287
digauss,log_price,1,2,4,0.005,8,0.009195402298850575
digauss,log_price,1,2,4,0.01,16,0.01839080459770115
digauss,log_price,1,2,4,0.02,25,0.028735632183908046
digauss,log_price,1,2,4,0.05,56,0.06436781609195402
digauss,log_price,1,2,4,0.1,76,0.08735632183908046
digauss,log_price,1,2,4,0.2,106,0.12183908045977011
digauss,log_price,1,2,4,0.3,111,0.12758620689655173
digauss,log_price,1,2,4,0.5,120,0.13793103448275862
digauss,log_price,1,3,none,0.001,7,0.008045977011494253
digauss,log_price,1,3,none,0.005,15,0.017241379310344827
digauss,log_price,1,3,none,0.01,21,0.02413793103448276
digauss,log_price,1,3,none,0.02,36,0.041379310344827586
digauss,log_price,1,3,none,0.05,71,0.08160919540229886
digauss,log_price,1,3,none,0.1,140,0.16091954022988506
digauss,log_price,1,3,none,0.2,254,0.29195402298850576
digauss,log_price,1,3,none,0.3,369,0.4241379310344828
digauss,log_price,1,3,none,0.5,547,0.628735632183908
digauss,log_price,1,3,5,0.001,7,0.008045977011494253
digauss,log_price,1,3,5,0.005,14,0.016091954022988506
digauss,log_price,1,3,5,0.01,19,0.021839080459770115
digauss,log_price,1,3,5,0.02,33,0.03793103448275862
digauss,log_price,1,3,5,0.05,61,0.07011494252873564
digauss,log_price,1,3,5,0.1,99,0.11379310344827587
digauss,log_price,1,3,5,0.2,136,0.15632183908045977
digauss,log_price,1,3,5,0.3,149,0.17126436781609194
digauss,log_price,1,3,5,0.5,150,0.1724137931034483
digauss,log_price,1,3,4,0.001,7,0.008045977011494253
digauss,log_price,1,3,4,0.005,13,0.014942528735632184
digauss,log_price,1,3,4,0.01,18,0.020689655172413793
digauss,log_price,1,3,4,0.02,31,0.035632183908045977
digauss,log_price,1,3,4,0.05,56,0.06436781609195402
digauss,log_price,1,3,4,0.1,87,0.1
digauss,log_price,1,3,4,0.2,113,0.12988505747126436
digauss,log_price,1,3,4,0.3,120,0.13793103448275862
digauss,log_price,1,3,4,0.5,120,0.13793103448275862
digauss,log_price,2,1,none,0.001,5,0.005747126436781609
digauss,log_price,2,1,none,0.005,18,0.020689655172413793
digauss,log_price,2,1,none,0.01,33,0.03793103448275862
digauss,log_price,2,1,none,0.02,52,0.059770114942528735
digauss,log_price,2,1,none,0.05,80,0.09195402298850575
digauss,log_price,2,1,none,0.1,137,0.15747126436781608
digauss,log_price,2,1,none,0.2,224,0.2574712643678161
digauss,log_price,2,1,none,0.3,331,0.38045977011494253
digauss,log_price,2,1,none,0.5,492,0.5655172413793104
digauss,log_price,2,1,5,0.001,5,0.005747126436781609
digauss,log_price,2,1,5,0.005,15,0.017241379310344827
digauss,log_price,2,1,5,0.01,24,0.027586206896551724
digauss,log_price,2,1,5,0.02,28,0.03218390804597701
digauss,log_price,2,1,5,0.05,44,0.05057471264367816
digauss,log_price,2,1,5,0.1,82,0.09425287356321839
digauss,log_price,2,1,5,0.2,115,0.13218390804597702
digauss,log_price,2,1,5,0.3,131,0.15057471264367817
digauss,log_price,2,1,5,0.5,149,0.17126436781609194
digauss,log_price,2,1,4,0.001,4,0.004597701149425287
digauss,log_price,2,1,4,0.005,13,0.014942528735632184
digauss,log_price,2,1,4,0.01,21,0.02413793103448276
digauss,log_price,2,1,4,0.02,24,0.027586206896551724
digauss,log_price,2,1,4,0.05,40,0.04597701149425287
digauss,log_price,2,1,4,0.1,72,0.08275862068965517
digauss,log_price,2,1,4,0.2,94,0.10804597701149425
digauss,log_price,2,1,4,0.3,108,0.12413793103448276
digauss,log_price,2,1,4,0.5,120,0.13793103448275862
digauss,log_price,2,2,none,0.001,43,0.04942528735632184
digauss,log_price,2,2,none,0.005,78,0.0896551724137931
digauss,log_price,2,2,none,0.01,102,0.11724137931034483
digauss,log_price,2,2,none,0.02,142,0.1632183908045977
digauss,log_price,2,2,none,0.05,217,0.24942528735632183
digauss,log_price,2,2,none,0.1,312,0.3586206896551724
digauss,log_price,2,2,none,0.2,439,0.5045977011494253
digauss,log_price,2,2,none,0.3,531,0.6103448275862069
digauss,log_price,2,2,none,0.5,683,0.7850574712643679
digauss,log_price,2,2,5,0.001,39,0.04482758620689655
digauss,log_price,2,2,5,0.005,66,0.07586206896551724
digauss,log_price,2,2,5,0.01,86,0.09885057471264368
digauss,log_price,2,2,5,0.02,110,0.12643678160919541
digauss,log_price,2,2,5,0.05,134,0.15402298850574714
digauss,log_price,2,2,5,0.1,147,0.16896551724137931
digauss,log_price,2,2,5,0.2,150,0.1724137931034483
digauss,log_price,2,2,5,0.3,150,0.1724137931034483
digauss,log_price,2,2,5,0.5,150,0.1724137931034483
digauss,log_price,2,2,4,0.001,36,0.041379310344827586
digauss,log_price,2,2,4,0.005,62,0.07126436781609195
digauss,log_price,2,2,4,0.01,76,0.08735632183908046
digauss,log_price,2,2,4,0.02,96,0.1103448275862069
digauss,log_price,2,2,4,0.05,113,0.12988505747126436
digauss,log_price,2,2,4,0.1,119,0.1367816091954023
digauss,log_price,2,2,4,0.2,120,0.13793103448275862
digauss,log_price,2,2,4,0.3,120,0.13793103448275862
digauss,log_price,2,2,4,0.5,120,0.13793103448275862
digauss,log_price,2,3,none,0.001,21,0.02413793103448276
digauss,log_price,2,3,none,0.005,42,0.04827586206896552
digauss,log_price,2,3,none,0.01,63,0.07241379310344828
digauss,log_price,2,3,none,0.02,97,0.11149425287356322
digauss,log_price,2,3,none,0.05,183,0.2103448275862069
digauss,log_price,2,3,none,0.1,264,0.30344827586206896
digauss,log_price,2,3,none,0.2,386,0.4436781609195402
digauss,log_price,2,3,none,0.3,469,0.539080459770115
digauss,log_price,2,3,none,0.5,620,0.7126436781609196
digauss,log_price,2,3,5,0.001,21,0.02413793103448276
digauss,log_price,2,3,5,0.005,40,0.04597701149425287
digauss,log_price,2,3,5,0.01,54,0.06206896551724138
digauss,log_price,2,3,5,0.02,75,0.08620689655172414
digauss,log_price,2,3,5,0.05,118,0.135632183908046
digauss,log_price,2,3,5,0.1,134,0.15402298850574714
digauss,log_price,2,3,5,0.2,144,0.16551724137931034
digauss,log_price,2,3,5,0.3,149,0.17126436781609194
digauss,log_price,2,3,5,0.5,150,0.1724137931034483
digauss,log_price,2,3,4,0.001,21,0.02413793103448276
digauss,log_price,2,3,4,0.005,37,0.04252873563218391
digauss,log_price,2,3,4,0.01,50,0.05747126436781609
digauss,log_price,2,3,4,0.02,68,0.07816091954022988
digauss,log_price,2,3,4,0.05,100,0.11494252873563218
digauss,log_price,2,3,4,0.1,111,0.12758620689655173
digauss,log_price,2,3,4,0.2,116,0.13333333333333333
digauss,log_price,2,3,4,0.3,120,0.13793103448275862
digauss,log_price,2,3,4,0.5,120,0.13793103448275862
digauss,log_price,3,1,none,0.001,22,0.02528735632183908
digauss,log_price,3,1,none,0.005,49,0.05632183908045977
digauss,log_price,3,1,none,0.01,67,0.07701149425287357
digauss,log_price,3,1,none,0.02,92,0.10574712643678161
digauss,log_price,3,1,none,0.05,162,0.18620689655172415
digauss,log_price,3,1,none,0.1,241,0.2770114942528736
digauss,log_price,3,1,none,0.2,370,0.42528735632183906
digauss,log_price,3,1,none,0.3,449,0.5160919540229885
digauss,log_price,3,1,none,0.5,583,0.6701149425287356
digauss,log_price,3,1,5,0.001,21,0.02413793103448276
digauss,log_price,3,1,5,0.005,43,0.04942528735632184
digauss,log_price,3,1,5,0.01,56,0.06436781609195402
digauss,log_price,3,1,5,0.02,72,0.08275862068965517
digauss,log_price,3,1,5,0.05,105,0.1206896551724138
digauss,log_price,3,1,5,0.1,126,0.14482758620689656
digauss,log_price,3,1,5,0.2,147,0.16896551724137931
digauss,log_price,3,1,5,0.3,148,0.17011494252873563
digauss,log_price,3,1,5,0.5,150,0.1724137931034483
digauss,log_price,3,1,4,0.001,20,0.022988505747126436
digauss,log_price,3,1,4,0.005,41,0.047126436781609195
digauss,log_price,3,1,4,0.01,53,0.06091954022988506
digauss,log_price,3,1,4,0.02,66,0.07586206896551724
digauss,log_price,3,1,4,0.05,90,0.10344827586206896
digauss,log_price,3,1,4,0.1,105,0.1206896551724138
digauss,log_price,3,1,4,0.2,119,0.1367816091954023
digauss,log_price,3,1,4,0.3,119,0.1367816091954023
digauss,log_price,3,1,4,0.5,120,0.13793103448275862
digauss,log_price,3,2,none,0.001,11,0.01264367816091954
digauss,log_price,3,2,none,0.005,29,0.03333333333333333
digauss,log_price,3,2,none,0.01,52,0.059770114942528735
digauss,log_price,3,2,none,0.02,76,0.08735632183908046
digauss,log_price,3,2,none,0.05,129,0.1482758620689655
digauss,log_price,3,2,none,0.1,200,0.22988505747126436
digauss,log_price,3,2,none,0.2,323,0.37126436781609196
digauss,log_price,3,2,none,0.3,409,0.47011494252873565
digauss,log_price,3,2,none,0.5,567,0.6517241379310345
digauss,log_price,3,2,5,0.001,11,0.01264367816091954
digauss,log_price,3,2,5,0.005,28,0.03218390804597701
digauss,log_price,3,2,5,0.01,45,0.05172413793103448
digauss,log_price,3,2,5,0.02,65,0.07471264367816093
digauss,log_price,3,2,5,0.05,101,0.11609195402298851
digauss,log_price,3,2,5,0.1,134,0.15402298850574714
digauss,log_price,3,2,5,0.2,150,0.1724137931034483
digauss,log_price,3,2,5,0.3,150,0.1724137931034483
digauss,log_price,3,2,5,0.5,150,0.1724137931034483
digauss,log_price,3,2,4,0.001,11,0.01264367816091954
digauss,log_price,3,2,4,0.005,26,0.029885057471264367
digauss,log_price,3,2,4,0.01,42,0.04827586206896552
digauss,log_price,3,2,4,0.02,61,0.07011494252873564
digauss,log_price,3,2,4,0.05,91,0.10459770114942529
digauss,log_price,3,2,4,0.1,114,0.1310344827586207
digauss,log_price,3,2,4,0.2,120,0.13793103448275862
digauss,log_price,3,2,4,0.3,120,0.13793103448275862
digauss,log_price,3,2,4,0.5,120,0.13793103448275862
digauss,log_price,3,3,none,0.001,10,0.011494252873563218
digauss,log_price,3,3,none,0.005,26,0.029885057471264367
digauss,log_price,3,3,none,0.01,37,0.04252873563218391
digauss,log_price,3,3,none,0.02,60,0.06896551724137931
digauss,log_price,3,3,none,0.05,112,0.12873563218390804
digauss,log_price,3,3,none,0.1,192,0.2206896551724138
digauss,log_price,3,3,none,0.2,314,0.36091954022988504
digauss,log_price,3,3,none,0.3,442,0.5080459770114942
digauss,log_price,3,3,none,0.5,594,0.6827586206896552
digauss,log_price,3,3,5,0.001,10,0.011494252873563218
digauss,log_price,3,3,5,0.005,26,0.029885057471264367
digauss,log_price,3,3,5,0.01,34,0.03908045977011494
digauss,log_price,3,3,5,0.02,55,0.06321839080459771
digauss,log_price,3,3,5,0.05,91,0.10459770114942529
digauss,log_price,3,3,5,0.1,130,0.14942528735632185
digauss,log_price,3,3,5,0.2,144,0.16551724137931034
digauss,log_price,3,3,5,0.3,149,0.17126436781609194
digauss,log_price,3,3,5,0.5,150,0.1724137931034483
digauss,log_price,3,3,4,0.001,10,0.011494252873563218
digauss,log_price,3,3,4,0.005,25,0.028735632183908046
digauss,log_price,3,3,4,0.01,32,0.0367816091954023
digauss,log_price,3,3,4,0.02,51,0.05862068965517241
digauss,log_price,3,3,4,0.05,80,0.09195402298850575
digauss,log_price,3,3,4,0.1,107,0.12298850574712644
digauss,log_price,3,3,4,0.2,117,0.13448275862068965
digauss,log_price,3,3,4,0.3,120,0.13793103448275862
digauss,log_price,3,3,4,0.5,120,0.13793103448275862
te,log_price,0,1,none,0.001,0,0.0
te,log_price,0,1,none,0.005,12,0.013793103448275862
te,log_price,0,1,none,0.01,20,0.022988505747126436
te,log_price,0,1,none,0.02,43,0.04942528735632184
te,log_price,0,1,none,0.05,114,0.1310344827586207
te,log_price,0,1,none,0.1,212,0.24367816091954023
te,log_price,0,1,none,0.2,365,0.41954022988505746
te,log_price,0,1,none,0.3,477,0.5482758620689655
te,log_price,0,1,none,0.5,663,0.7620689655172413
te,log_price,0,1,5,0.001,0,0.0
te,log_price,0,1,5,0.005,6,0.006896551724137931
te,log_price,0,1,5,0.01,9,0.010344827586206896
te,log_price,0,1,5,0.02,24,0.027586206896551724
te,log_price,0,1,5,0.05,76,0.08735632183908046
te,log_price,0,1,5,0.1,112,0.12873563218390804
te,log_price,0,1,5,0.2,138,0.15862068965517243
te,log_price,0,1,5,0.3,148,0.17011494252873563
te,log_price,0,1,5,0.5,150,0.1724137931034483
te,log_price,0,1,4,0.001,0,0.0
te,log_price,0,1,4,0.005,5,0.005747126436781609
te,log_price,0,1,4,0.01,8,0.009195402298850575
te,log_price,0,1,4,0.02,23,0.026436781609195402
te,log_price,0,1,4,0.05,69,0.07931034482758621
te,log_price,0,1,4,0.1,94,0.10804597701149425
te,log_price,0,1,4,0.2,115,0.13218390804597702
te,log_price,0,1,4,0.3,120,0.13793103448275862
te,log_price,0,1,4,0.5,120,0.13793103448275862
te,log_price,0,2,none,0.001,0,0.0
te,log_price,0,2,none,0.005,0,0.0
te,log_price,0,2,none,0.01,76,0.08735632183908046
te,log_price,0,2,none,0.02,93,0.10689655172413794
te,log_price,0,2,none,0.05,188,0.2160919540229885
te,log_price,0,2,none,0.1,320,0.367816091954023
te,log_price,0,2,none,0.2,496,0.5701149425287356
te,log_price,0,2,none,0.3,597,0.6862068965517242
te,log_price,0,2,none,0.5,751,0.8632183908045977
te,log_price,0,2,5,0.001,0,0.0
te,log_price,0,2,5,0.005,0,0.0
te,log_price,0,2,5,0.01,62,0.07126436781609195
te,log_price,0,2,5,0.02,76,0.08735632183908046
te,log_price,0,2,5,0.05,116,0.13333333333333333
te,log_price,0,2,5,0.1,139,0.15977011494252874
te,log_price,0,2,5,0.2,150,0.1724137931034483
te,log_price,0,2,5,0.3,150,0.1724137931034483
te,log_price,0,2,5,0.5,150,0.1724137931034483
te,log_price,0,2,4,0.001,0,0.0
te,log_price,0,2,4,0.005,0,0.0
te,log_price,0,2,4,0.01,59,0.067816091954023
te,log_price,0,2,4,0.02,69,0.07931034482758621
te,log_price,0,2,4,0.05,99,0.11379310344827587
te,log_price,0,2,4,0.1,113,0.12988505747126436
te,log_price,0,2,4,0.2,120,0.13793103448275862
te,log_price,0,2,4,0.3,120,0.13793103448275862
te,log_price,0,2,4,0.5,120,0.13793103448275862
te,log_price,0,3,none,0.001,0,0.0
te,log_price,0,3,none,0.005,0,0.0
te,log_price,0,3,none,0.01,34,0.03908045977011494
te,log_price,0,3,none,0.02,88,0.10114942528735632
te,log_price,0,3,none,0.05,237,0.27241379310344827
te,log_price,0,3,none,0.1,396,0.45517241379310347
te,log_price,0,3,none,0.2,555,0.6379310344827587
te,log_price,0,3,none,0.3,688,0.7908045977011494
te,log_price,0,3,none,0.5,789,0.906896551724138
te,log_price,0,3,5,0.001,0,0.0
te,log_price,0,3,5,0.005,0,0.0
te,log_price,0,3,5,0.01,34,0.03908045977011494
te,log_price,0,3,5,0.02,71,0.08160919540229886
te,log_price,0,3,5,0.05,122,0.14022988505747128
te,log_price,0,3,5,0.1,139,0.15977011494252874
te,log_price,0,3,5,0.2,150,0.1724137931034483
te,log_price,0,3,5,0.3,150,0.1724137931034483
te,log_price,0,3,5,0.5,150,0.1724137931034483
te,log_price,0,3,4,0.001,0,0.0
te,log_price,0,3,4,0.005,0,0.0
te,log_price,0,3,4,0.01,34,0.03908045977011494
te,log_price,0,3,4,0.02,66,0.07586206896551724
te,log_price,0,3,4,0.05,100,0.11494252873563218
te,log_price,0,3,4,0.1,113,0.12988505747126436
te,log_price,0,3,4,0.2,120,0.13793103448275862
te,log_price,0,3,4,0.3,120,0.13793103448275862
te,log_price,0,3,4,0.5,120,0.13793103448275862
te,log_price,1,1,none,0.001,0,0.0
te,log_price,1,1,none,0.005,25,0.028735632183908046
te,log_price,1,1,none,0.01,27,0.03103448275862069
te,log_price,1,1,none,0.02,95,0.10919540229885058
te,log_price,1,1,none,0.05,194,0.22298850574712645
te,log_price,1,1,none,0.1,298,0.3425287356321839
te,log_price,1,1,none,0.2,429,0.49310344827586206
te,log_price,1,1,none,0.3,552,0.6344827586206897
te,log_price,1,1,none,0.5,695,0.7988505747126436
te,log_price,1,1,5,0.001,0,0.0
te,log_price,1,1,5,0.005,25,0.028735632183908046
te,log_price,1,1,5,0.01,27,0.03103448275862069
te,log_price,1,1,5,0.02,83,0.09540229885057472
te,log_price,1,1,5,0.05,126,0.14482758620689656
te,log_price,1,1,5,0.1,143,0.16436781609195403
te,log_price,1,1,5,0.2,148,0.17011494252873563
te,log_price,1,1,5,0.3,150,0.1724137931034483
te,log_price,1,1,5,0.5,150,0.1724137931034483
te,log_price,1,1,4,0.001,0,0.0
te,log_price,1,1,4,0.005,25,0.028735632183908046
te,log_price,1,1,4,0.01,27,0.03103448275862069
te,log_price,1,1,4,0.02,76,0.08735632183908046
te,log_price,1,1,4,0.05,108,0.12413793103448276
te,log_price,1,1,4,0.1,117,0.13448275862068965
te,log_price,1,1,4,0.2,120,0.13793103448275862
te,log_price,1,1,4,0.3,120,0.13793103448275862
te,log_price,1,1,4,0.5,120,0.13793103448275862
te,log_price,1,2,none,0.001,0,0.0
te,log_price,1,2,none,0.005,15,0.017241379310344827
te,log_price,1,2,none,0.01,33,0.03793103448275862
te,log_price,1,2,none,0.02,90,0.10344827586206896
te,log_price,1,2,none,0.05,199,0.22873563218390805
te,log_price,1,2,none,0.1,304,0.34942528735632183
