method,mode,period,max_lag,K,alpha,n_edges,density
te,log_price,1,2,none,0.2,412,0.4735632183908046
te,log_price,1,2,none,0.3,530,0.6091954022988506
te,log_price,1,2,none,0.5,668,0.767816091954023
te,log_price,1,2,5,0.001,0,0.0
te,log_price,1,2,5,0.005,15,0.017241379310344827
te,log_price,1,2,5,0.01,33,0.03793103448275862
te,log_price,1,2,5,0.02,70,0.08045977011494253
te,log_price,1,2,5,0.05,117,0.13448275862068965
te,log_price,1,2,5,0.1,132,0.15172413793103448
te,log_price,1,2,5,0.2,144,0.16551724137931034
te,log_price,1,2,5,0.3,148,0.17011494252873563
te,log_price,1,2,5,0.5,150,0.1724137931034483
te,log_price,1,2,4,0.001,0,0.0
te,log_price,1,2,4,0.005,15,0.017241379310344827
te,log_price,1,2,4,0.01,31,0.035632183908045977
te,log_price,1,2,4,0.02,63,0.07241379310344828
te,log_price,1,2,4,0.05,99,0.11379310344827587
te,log_price,1,2,4,0.1,109,0.12528735632183907
te,log_price,1,2,4,0.2,117,0.13448275862068965
te,log_price,1,2,4,0.3,119,0.1367816091954023
te,log_price,1,2,4,0.5,120,0.13793103448275862
te,log_price,1,3,none,0.001,0,0.0
te,log_price,1,3,none,0.005,45,0.05172413793103448
te,log_price,1,3,none,0.01,148,0.17011494252873563
te,log_price,1,3,none,0.02,159,0.18275862068965518
te,log_price,1,3,none,0.05,263,0.3022988505747126
te,log_price,1,3,none,0.1,416,0.4781609195402299
te,log_price,1,3,none,0.2,583,0.6701149425287356
te,log_price,1,3,none,0.3,712,0.8183908045977012
te,log_price,1,3,none,0.5,790,0.9080459770114943
te,log_price,1,3,5,0.001,0,0.0
te,log_price,1,3,5,0.005,39,0.04482758620689655
te,log_price,1,3,5,0.01,81,0.09310344827586207
te,log_price,1,3,5,0.02,88,0.10114942528735632
te,log_price,1,3,5,0.05,121,0.13908045977011493
te,log_price,1,3,5,0.1,150,0.1724137931034483
te,log_price,1,3,5,0.2,150,0.1724137931034483
te,log_price,1,3,5,0.3,150,0.1724137931034483
te,log_price,1,3,5,0.5,150,0.1724137931034483
te,log_price,1,3,4,0.001,0,0.0
te,log_price,1,3,4,0.005,36,0.041379310344827586
te,log_price,1,3,4,0.01,69,0.07931034482758621
te,log_price,1,3,4,0.02,75,0.08620689655172414
te,log_price,1,3,4,0.05,104,0.11954022988505747
te,log_price,1,3,4,0.1,120,0.13793103448275862
te,log_price,1,3,4,0.2,120,0.13793103448275862
te,log_price,1,3,4,0.3,120,0.13793103448275862
te,log_price,1,3,4,0.5,120,0.13793103448275862
te,log_price,2,1,none,0.001,0,0.0
te,log_price,2,1,none,0.005,17,0.01954022988505747
te,log_price,2,1,none,0.01,37,0.04252873563218391
te,log_price,2,1,none,0.02,71,0.08160919540229886
te,log_price,2,1,none,0.05,135,0.15517241379310345
te,log_price,2,1,none,0.1,251,0.2885057471264368
te,log_price,2,1,none,0.2,379,0.435632183908046
te,log_price,2,1,none,0.3,471,0.5413793103448276
te,log_price,2,1,none,0.5,639,0.7344827586206897
te,log_price,2,1,5,0.001,0,0.0
te,log_price,2,1,5,0.005,17,0.01954022988505747
te,log_price,2,1,5,0.01,36,0.041379310344827586
te,log_price,2,1,5,0.02,55,0.06321839080459771
te,log_price,2,1,5,0.05,89,0.10229885057471265
te,log_price,2,1,5,0.1,113,0.12988505747126436
te,log_price,2,1,5,0.2,140,0.16091954022988506
te,log_price,2,1,5,0.3,148,0.17011494252873563
te,log_price,2,1,5,0.5,150,0.1724137931034483
te,log_price,2,1,4,0.001,0,0.0
te,log_price,2,1,4,0.005,16,0.01839080459770115
te,log_price,2,1,4,0.01,34,0.03908045977011494
te,log_price,2,1,4,0.02,50,0.05747126436781609
te,log_price,2,1,4,0.05,76,0.08735632183908046
te,log_price,2,1,4,0.1,93,0.10689655172413794
te,log_price,2,1,4,0.2,115,0.13218390804597702
te,log_price,2,1,4,0.3,120,0.13793103448275862
te,log_price,2,1,4,0.5,120,0.13793103448275862
te,log_price,2,2,none,0.001,0,0.0
te,log_price,2,2,none,0.005,50,0.05747126436781609
te,log_price,2,2,none,0.01,86,0.09885057471264368
te,log_price,2,2,none,0.02,155,0.1781609195402299
te,log_price,2,2,none,0.05,273,0.3137931034482759
te,log_price,2,2,none,0.1,363,0.41724137931034483
te,log_price,2,2,none,0.2,526,0.6045977011494252
te,log_price,2,2,none,0.3,637,0.732183908045977
te,log_price,2,2,none,0.5,768,0.8827586206896552
te,log_price,2,2,5,0.001,0,0.0
te,log_price,2,2,5,0.005,46,0.052873563218390804
te,log_price,2,2,5,0.01,67,0.07701149425287357
te,log_price,2,2,5,0.02,100,0.11494252873563218
te,log_price,2,2,5,0.05,134,0.15402298850574714
te,log_price,2,2,5,0.1,141,0.16206896551724137
te,log_price,2,2,5,0.2,150,0.1724137931034483
te,log_price,2,2,5,0.3,150,0.1724137931034483
te,log_price,2,2,5,0.5,150,0.1724137931034483
te,log_price,2,2,4,0.001,0,0.0
te,log_price,2,2,4,0.005,43,0.04942528735632184
te,log_price,2,2,4,0.01,60,0.06896551724137931
te,log_price,2,2,4,0.02,88,0.10114942528735632
te,log_price,2,2,4,0.05,110,0.12643678160919541
te,log_price,2,2,4,0.1,114,0.1310344827586207
te,log_price,2,2,4,0.2,120,0.13793103448275862
te,log_price,2,2,4,0.3,120,0.13793103448275862
te,log_price,2,2,4,0.5,120,0.13793103448275862
te,log_price,2,3,none,0.001,0,0.0
te,log_price,2,3,none,0.005,76,0.08735632183908046
te,log_price,2,3,none,0.01,117,0.13448275862068965
te,log_price,2,3,none,0.02,238,0.2735632183908046
te,log_price,2,3,none,0.05,395,0.4540229885057471
te,log_price,2,3,none,0.1,543,0.6241379310344828
te,log_price,2,3,none,0.2,714,0.8206896551724138
te,log_price,2,3,none,0.3,778,0.8942528735632184
te,log_price,2,3,none,0.5,818,0.9402298850574713
te,log_price,2,3,5,0.001,0,0.0
te,log_price,2,3,5,0.005,67,0.07701149425287357
te,log_price,2,3,5,0.01,85,0.09770114942528736
te,log_price,2,3,5,0.02,126,0.14482758620689656
te,log_price,2,3,5,0.05,147,0.16896551724137931
te,log_price,2,3,5,0.1,150,0.1724137931034483
te,log_price,2,3,5,0.2,150,0.1724137931034483
te,log_price,2,3,5,0.3,150,0.1724137931034483
te,log_price,2,3,5,0.5,150,0.1724137931034483
te,log_price,2,3,4,0.001,0,0.0
te,log_price,2,3,4,0.005,61,0.07011494252873564
te,log_price,2,3,4,0.01,75,0.08620689655172414
te,log_price,2,3,4,0.02,104,0.11954022988505747
te,log_price,2,3,4,0.05,118,0.135632183908046
te,log_price,2,3,4,0.1,120,0.13793103448275862
te,log_price,2,3,4,0.2,120,0.13793103448275862
te,log_price,2,3,4,0.3,120,0.13793103448275862
te,log_price,2,3,4,0.5,120,0.13793103448275862
te,log_price,3,1,none,0.001,0,0.0
te,log_price,3,1,none,0.005,16,0.01839080459770115
te,log_price,3,1,none,0.01,53,0.06091954022988506
te,log_price,3,1,none,0.02,70,0.08045977011494253
te,log_price,3,1,none,0.05,170,0.19540229885057472
te,log_price,3,1,none,0.1,277,0.31839080459770114
te,log_price,3,1,none,0.2,429,0.49310344827586206
te,log_price,3,1,none,0.3,510,0.5862068965517241
te,log_price,3,1,none,0.5,663,0.7620689655172413
te,log_price,3,1,5,0.001,0,0.0
te,log_price,3,1,5,0.005,16,0.01839080459770115
te,log_price,3,1,5,0.01,49,0.05632183908045977
te,log_price,3,1,5,0.02,62,0.07126436781609195
te,log_price,3,1,5,0.05,105,0.1206896551724138
te,log_price,3,1,5,0.1,123,0.1413793103448276
te,log_price,3,1,5,0.2,133,0.1528735632183908
te,log_price,3,1,5,0.3,136,0.15632183908045977
te,log_price,3,1,5,0.5,145,0.16666666666666666
te,log_price,3,1,4,0.001,0,0.0
te,log_price,3,1,4,0.005,16,0.01839080459770115
te,log_price,3,1,4,0.01,47,0.054022988505747126
te,log_price,3,1,4,0.02,57,0.06551724137931035
te,log_price,3,1,4,0.05,88,0.10114942528735632
te,log_price,3,1,4,0.1,99,0.11379310344827587
te,log_price,3,1,4,0.2,107,0.12298850574712644
te,log_price,3,1,4,0.3,110,0.12643678160919541
te,log_price,3,1,4,0.5,116,0.13333333333333333
te,log_price,3,2,none,0.001,0,0.0
te,log_price,3,2,none,0.005,7,0.008045977011494253
te,log_price,3,2,none,0.01,100,0.11494252873563218
te,log_price,3,2,none,0.02,162,0.18620689655172415
te,log_price,3,2,none,0.05,233,0.267816091954023
te,log_price,3,2,none,0.1,337,0.3873563218390805
te,log_price,3,2,none,0.2,515,0.5919540229885057
te,log_price,3,2,none,0.3,600,0.6896551724137931
te,log_price,3,2,none,0.5,741,0.8517241379310345
te,log_price,3,2,5,0.001,0,0.0
te,log_price,3,2,5,0.005,7,0.008045977011494253
te,log_price,3,2,5,0.01,78,0.0896551724137931
te,log_price,3,2,5,0.02,102,0.11724137931034483
te,log_price,3,2,5,0.05,123,0.1413793103448276
te,log_price,3,2,5,0.1,139,0.15977011494252874
te,log_price,3,2,5,0.2,147,0.16896551724137931
te,log_price,3,2,5,0.3,150,0.1724137931034483
te,log_price,3,2,5,0.5,150,0.1724137931034483
te,log_price,3,2,4,0.001,0,0.0
te,log_price,3,2,4,0.005,7,0.008045977011494253
te,log_price,3,2,4,0.01,68,0.07816091954022988
te,log_price,3,2,4,0.02,86,0.09885057471264368
te,log_price,3,2,4,0.05,103,0.11839080459770115
te,log_price,3,2,4,0.1,115,0.13218390804597702
te,log_price,3,2,4,0.2,118,0.135632183908046
te,log_price,3,2,4,0.3,120,0.13793103448275862
te,log_price,3,2,4,0.5,120,0.13793103448275862
te,log_price,3,3,none,0.001,0,0.0
te,log_price,3,3,none,0.005,9,0.010344827586206896
te,log_price,3,3,none,0.01,31,0.035632183908045977
te,log_price,3,3,none,0.02,78,0.0896551724137931
te,log_price,3,3,none,0.05,209,0.24022988505747125
te,log_price,3,3,none,0.1,347,0.3988505747126437
te,log_price,3,3,none,0.2,564,0.6482758620689655
te,log_price,3,3,none,0.3,645,0.7413793103448276
te,log_price,3,3,none,0.5,744,0.8551724137931035
te,log_price,3,3,5,0.001,0,0.0
te,log_price,3,3,5,0.005,9,0.010344827586206896
te,log_price,3,3,5,0.01,28,0.03218390804597701
te,log_price,3,3,5,0.02,62,0.07126436781609195
te,log_price,3,3,5,0.05,124,0.1425287356321839
te,log_price,3,3,5,0.1,143,0.16436781609195403
te,log_price,3,3,5,0.2,150,0.1724137931034483
te,log_price,3,3,5,0.3,150,0.1724137931034483
te,log_price,3,3,5,0.5,150,0.1724137931034483
te,log_price,3,3,4,0.001,0,0.0
te,log_price,3,3,4,0.005,9,0.010344827586206896
te,log_price,3,3,4,0.01,26,0.029885057471264367
te,log_price,3,3,4,0.02,56,0.06436781609195402
te,log_price,3,3,4,0.05,103,0.11839080459770115
te,log_price,3,3,4,0.1,117,0.13448275862068965
te,log_price,3,3,4,0.2,120,0.13793103448275862
te,log_price,3,3,4,0.3,120,0.13793103448275862
te,log_price,3,3,4,0.5,120,0.13793103448275862
granger,log_return,0,1,none,0.001,0,0.0
granger,log_return,0,1,none,0.005,5,0.005747126436781609
granger,log_return,0,1,none,0.01,9,0.010344827586206896
granger,log_return,0,1,none,0.02,19,0.021839080459770115
granger,log_return,0,1,none,0.05,39,0.04482758620689655
granger,log_return,0,1,none,0.1,75,0.08620689655172414
granger,log_return,0,1,none,0.2,164,0.18850574712643678
granger,log_return,0,1,none,0.3,251,0.2885057471264368
granger,log_return,0,1,none,0.5,436,0.5011494252873563
granger,log_return,0,1,5,0.001,0,0.0
granger,log_return,0,1,5,0.005,5,0.005747126436781609
granger,log_return,0,1,5,0.01,9,0.010344827586206896
granger,log_return,0,1,5,0.02,19,0.021839080459770115
granger,log_return,0,1,5,0.05,39,0.04482758620689655
granger,log_return,0,1,5,0.1,71,0.08160919540229886
granger,log_return,0,1,5,0.2,123,0.1413793103448276
granger,log_return,0,1,5,0.3,141,0.16206896551724137
granger,log_return,0,1,5,0.5,150,0.1724137931034483
granger,log_return,0,1,4,0.001,0,0.0
granger,log_return,0,1,4,0.005,5,0.005747126436781609
granger,log_return,0,1,4,0.01,9,0.010344827586206896
granger,log_return,0,1,4,0.02,19,0.021839080459770115
granger,log_return,0,1,4,0.05,39,0.04482758620689655
granger,log_return,0,1,4,0.1,69,0.07931034482758621
granger,log_return,0,1,4,0.2,104,0.11954022988505747
granger,log_return,0,1,4,0.3,114,0.1310344827586207
granger,log_return,0,1,4,0.5,120,0.13793103448275862
granger,log_return,0,2,none,0.001,2,0.0022988505747126436
granger,log_return,0,2,none,0.005,6,0.006896551724137931
granger,log_return,0,2,none,0.01,14,0.016091954022988506
granger,log_return,0,2,none,0.02,21,0.02413793103448276
granger,log_return,0,2,none,0.05,65,0.07471264367816093
granger,log_return,0,2,none,0.1,112,0.12873563218390804
granger,log_return,0,2,none,0.2,212,0.24367816091954023
granger,log_return,0,2,none,0.3,308,0.35402298850574715
granger,log_return,0,2,none,0.5,468,0.5379310344827586
granger,log_return,0,2,5,0.001,2,0.0022988505747126436
granger,log_return,0,2,5,0.005,6,0.006896551724137931
granger,log_return,0,2,5,0.01,14,0.016091954022988506
granger,log_return,0,2,5,0.02,21,0.02413793103448276
granger,log_return,0,2,5,0.05,59,0.067816091954023
granger,log_return,0,2,5,0.1,92,0.10574712643678161
granger,log_return,0,2,5,0.2,136,0.15632183908045977
granger,log_return,0,2,5,0.3,147,0.16896551724137931
granger,log_return,0,2,5,0.5,150,0.1724137931034483
granger,log_return,0,2,4,0.001,2,0.0022988505747126436
granger,log_return,0,2,4,0.005,6,0.006896551724137931
granger,log_return,0,2,4,0.01,14,0.016091954022988506
granger,log_return,0,2,4,0.02,21,0.02413793103448276
granger,log_return,0,2,4,0.05,55,0.06321839080459771
granger,log_return,0,2,4,0.1,82,0.09425287356321839
granger,log_return,0,2,4,0.2,113,0.12988505747126436
granger,log_return,0,2,4,0.3,119,0.1367816091954023
granger,log_return,0,2,4,0.5,120,0.13793103448275862
granger,log_return,0,3,none,0.001,2,0.0022988505747126436
granger,log_return,0,3,none,0.005,4,0.004597701149425287
granger,log_return,0,3,none,0.01,9,0.010344827586206896
granger,log_return,0,3,none,0.02,13,0.014942528735632184
granger,log_return,0,3,none,0.05,38,0.04367816091954023
granger,log_return,0,3,none,0.1,81,0.09310344827586207
granger,log_return,0,3,none,0.2,159,0.18275862068965518
granger,log_return,0,3,none,0.3,258,0.296551724137931
granger,log_return,0,3,none,0.5,415,0.47701149425287354
granger,log_return,0,3,5,0.001,2,0.0022988505747126436
granger,log_return,0,3,5,0.005,4,0.004597701149425287
granger,log_return,0,3,5,0.01,9,0.010344827586206896
granger,log_return,0,3,5,0.02,13,0.014942528735632184
granger,log_return,0,3,5,0.05,38,0.04367816091954023
granger,log_return,0,3,5,0.1,67,0.07701149425287357
granger,log_return,0,3,5,0.2,117,0.13448275862068965
granger,log_return,0,3,5,0.3,139,0.15977011494252874
granger,log_return,0,3,5,0.5,150,0.1724137931034483
granger,log_return,0,3,4,0.001,2,0.0022988505747126436
granger,log_return,0,3,4,0.005,4,0.004597701149425287
granger,log_return,0,3,4,0.01,9,0.010344827586206896
granger,log_return,0,3,4,0.02,13,0.014942528735632184
granger,log_return,0,3,4,0.05,37,0.04252873563218391
granger,log_return,0,3,4,0.1,64,0.0735632183908046
granger,log_return,0,3,4,0.2,103,0.11839080459770115
granger,log_return,0,3,4,0.3,113,0.12988505747126436
granger,log_return,0,3,4,0.5,120,0.13793103448275862
granger,log_return,1,1,none,0.001,0,0.0
granger,log_return,1,1,none,0.005,5,0.005747126436781609
granger,log_return,1,1,none,0.01,10,0.011494252873563218
granger,log_return,1,1,none,0.02,24,0.027586206896551724
granger,log_return,1,1,none,0.05,53,0.06091954022988506
granger,log_return,1,1,none,0.1,96,0.1103448275862069
granger,log_return,1,1,none,0.2,192,0.2206896551724138
granger,log_return,1,1,none,0.3,272,0.31264367816091954
granger,log_return,1,1,none,0.5,440,0.5057471264367817
granger,log_return,1,1,5,0.001,0,0.0
granger,log_return,1,1,5,0.005,5,0.005747126436781609
granger,log_return,1,1,5,0.01,10,0.011494252873563218
granger,log_return,1,1,5,0.02,23,0.026436781609195402
granger,log_return,1,1,5,0.05,48,0.05517241379310345
granger,log_return,1,1,5,0.1,77,0.08850574712643679
granger,log_return,1,1,5,0.2,128,0.1471264367816092
granger,log_return,1,1,5,0.3,146,0.167816091954023
granger,log_return,1,1,5,0.5,150,0.1724137931034483
granger,log_return,1,1,4,0.001,0,0.0
granger,log_return,1,1,4,0.005,5,0.005747126436781609
granger,log_return,1,1,4,0.01,10,0.011494252873563218
granger,log_return,1,1,4,0.02,22,0.02528735632183908
granger,log_return,1,1,4,0.05,44,0.05057471264367816
granger,log_return,1,1,4,0.1,71,0.08160919540229886
granger,log_return,1,1,4,0.2,109,0.12528735632183907
granger,log_return,1,1,4,0.3,118,0.135632183908046
granger,log_return,1,1,4,0.5,120,0.13793103448275862
granger,log_return,1,2,none,0.001,0,0.0
granger,log_return,1,2,none,0.005,4,0.004597701149425287
granger,log_return,1,2,none,0.01,11,0.01264367816091954
granger,log_return,1,2,none,0.02,21,0.02413793103448276
granger,log_return,1,2,none,0.05,51,0.05862068965517241
granger,log_return,1,2,none,0.1,100,0.11494252873563218
granger,log_return,1,2,none,0.2,189,0.21724137931034482
granger,log_return,1,2,none,0.3,263,0.3022988505747126
granger,log_return,1,2,none,0.5,434,0.49885057471264366
granger,log_return,1,2,5,0.001,0,0.0
granger,log_return,1,2,5,0.005,4,0.004597701149425287
granger,log_return,1,2,5,0.01,11,0.01264367816091954
granger,log_return,1,2,5,0.02,21,0.02413793103448276
granger,log_return,1,2,5,0.05,48,0.05517241379310345
granger,log_return,1,2,5,0.1,89,0.10229885057471265
granger,log_return,1,2,5,0.2,124,0.1425287356321839
granger,log_return,1,2,5,0.3,143,0.16436781609195403
granger,log_return,1,2,5,0.5,148,0.17011494252873563
granger,log_return,1,2,4,0.001,0,0.0
granger,log_return,1,2,4,0.005,4,0.004597701149425287
granger,log_return,1,2,4,0.01,11,0.01264367816091954
granger,log_return,1,2,4,0.02,20,0.022988505747126436
granger,log_return,1,2,4,0.05,46,0.052873563218390804
granger,log_return,1,2,4,0.1,79,0.09080459770114943
granger,log_return,1,2,4,0.2,104,0.11954022988505747
granger,log_return,1,2,4,0.3,116,0.13333333333333333
granger,log_return,1,2,4,0.5,119,0.1367816091954023
granger,log_return,1,3,none,0.001,1,0.0011494252873563218
granger,log_return,1,3,none,0.005,5,0.005747126436781609
granger,log_return,1,3,none,0.01,9,0.010344827586206896
granger,log_return,1,3,none,0.02,24,0.027586206896551724
granger,log_return,1,3,none,0.05,52,0.059770114942528735
granger,log_return,1,3,none,0.1,114,0.1310344827586207
granger,log_return,1,3,none,0.2,210,0.2413793103448276
granger,log_return,1,3,none,0.3,298,0.3425287356321839
granger,log_return,1,3,none,0.5,486,0.5586206896551724
granger,log_return,1,3,5,0.001,1,0.0011494252873563218
granger,log_return,1,3,5,0.005,5,0.005747126436781609
granger,log_return,1,3,5,0.01,9,0.010344827586206896
granger,log_return,1,3,5,0.02,23,0.026436781609195402
granger,log_return,1,3,5,0.05,49,0.05632183908045977
granger,log_return,1,3,5,0.1,98,0.11264367816091954
granger,log_return,1,3,5,0.2,132,0.15172413793103448
granger,log_return,1,3,5,0.3,148,0.17011494252873563
granger,log_return,1,3,5,0.5,150,0.1724137931034483
granger,log_return,1,3,4,0.001,1,0.0011494252873563218
granger,log_return,1,3,4,0.005,5,0.005747126436781609
granger,log_return,1,3,4,0.01,9,0.010344827586206896
granger,log_return,1,3,4,0.02,22,0.02528735632183908
granger,log_return,1,3,4,0.05,46,0.052873563218390804
granger,log_return,1,3,4,0.1,89,0.10229885057471265
granger,log_return,1,3,4,0.2,111,0.12758620689655173
granger,log_return,1,3,4,0.3,119,0.1367816091954023
granger,log_return,1,3,4,0.5,120,0.13793103448275862
granger,log_return,2,1,none,0.001,31,0.035632183908045977
granger,log_return,2,1,none,0.005,64,0.0735632183908046
granger,log_return,2,1,none,0.01,96,0.1103448275862069
granger,log_return,2,1,none,0.02,145,0.16666666666666666
granger,log_return,2,1,none,0.05,260,0.2988505747126437
granger,log_return,2,1,none,0.1,355,0.40804597701149425
granger,log_return,2,1,none,0.2,495,0.5689655172413793
granger,log_return,2,1,none,0.3,595,0.6839080459770115
granger,log_return,2,1,none,0.5,705,0.8103448275862069
granger,log_return,2,1,5,0.001,29,0.03333333333333333
granger,log_return,2,1,5,0.005,60,0.06896551724137931
granger,log_return,2,1,5,0.01,84,0.09655172413793103
granger,log_return,2,1,5,0.02,107,0.12298850574712644
granger,log_return,2,1,5,0.05,133,0.1528735632183908
granger,log_return,2,1,5,0.1,145,0.16666666666666666
granger,log_return,2,1,5,0.2,150,0.1724137931034483
granger,log_return,2,1,5,0.3,150,0.1724137931034483
granger,log_return,2,1,5,0.5,150,0.1724137931034483
granger,log_return,2,1,4,0.001,28,0.03218390804597701
granger,log_return,2,1,4,0.005,56,0.06436781609195402
granger,log_return,2,1,4,0.01,76,0.08735632183908046
granger,log_return,2,1,4,0.02,91,0.10459770114942529
granger,log_return,2,1,4,0.05,110,0.12643678160919541
granger,log_return,2,1,4,0.1,118,0.135632183908046
granger,log_return,2,1,4,0.2,120,0.13793103448275862
granger,log_return,2,1,4,0.3,120,0.13793103448275862
granger,log_return,2,1,4,0.5,120,0.13793103448275862
granger,log_return,2,2,none,0.001,13,0.014942528735632184
