period,ticker,source_day,target_day,F_stat,p_value,significant_05,significant_01,n_obs,q,k
0,AAPL,Tuesday,Monday,0.4544881654029993,0.7145661707484459,False,False,138,3,7
0,AAPL,Wednesday,Monday,1.4516127056325017,0.23081233096761178,False,False,138,3,7
0,AAPL,Thursday,Monday,0.4345751984217795,0.7286077416527824,False,False,138,3,7
0,AAPL,Friday,Monday,2.803090335324228,0.042410948509055024,True,False,138,3,7
0,AAPL,Monday,Tuesday,1.1350287925507683,0.3374282852008862,False,False,138,3,7
0,AAPL,Wednesday,Tuesday,0.693045544963332,0.5578736723259448,False,False,138,3,7
0,AAPL,Thursday,Tuesday,0.051228712144612776,0.9846232950110364,False,False,138,3,7
0,AAPL,Friday,Tuesday,3.36903684893685,0.020597759832891693,True,False,138,3,7
0,AAPL,Monday,Wednesday,2.8702339421314087,0.03893379314039791,True,False,138,3,7
0,AAPL,Tuesday,Wednesday,0.6810127157546717,0.5651795983472456,False,False,138,3,7
0,AAPL,Thursday,Wednesday,0.7512838973450283,0.5234948318957753,False,False,138,3,7
0,AAPL,Friday,Wednesday,0.46068674326710457,0.7102184477543547,False,False,138,3,7
0,AAPL,Monday,Thursday,2.126596432384358,0.09993329965002251,False,False,138,3,7
0,AAPL,Tuesday,Thursday,0.8546326041706934,0.4665407182837298,False,False,138,3,7
0,AAPL,Wednesday,Thursday,1.5969630148367042,0.1932237412671347,False,False,138,3,7
0,AAPL,Friday,Thursday,0.5826955189700325,0.6273889420790075,False,False,138,3,7
0,AAPL,Monday,Friday,0.5248834700472043,0.6659349715827885,False,False,138,3,7
0,AAPL,Tuesday,Friday,0.12899239982806854,0.9427353710185377,False,False,138,3,7
0,AAPL,Wednesday,Friday,0.2504312903215079,0.8609108927178446,False,False,138,3,7
0,AAPL,Thursday,Friday,1.432056451379258,0.23636570355044362,False,False,138,3,7
1,AAPL,Tuesday,Monday,0.9092990524282323,0.43850726968708975,False,False,138,3,7
1,AAPL,Wednesday,Monday,0.3520202006538916,0.7877471584436935,False,False,138,3,7
1,AAPL,Thursday,Monday,0.4048315936252571,0.7497693800658523,False,False,138,3,7
1,AAPL,Friday,Monday,6.291166817704288,0.0005076058688388008,True,True,138,3,7
1,AAPL,Monday,Tuesday,3.3539707856587095,0.020998073232325276,True,False,138,3,7
1,AAPL,Wednesday,Tuesday,0.42692750645405325,0.7340287208314807,False,False,138,3,7
1,AAPL,Thursday,Tuesday,1.8784319123035063,0.13636138845714285,False,False,138,3,7
1,AAPL,Friday,Tuesday,0.895506188048745,0.44544512781443457,False,False,138,3,7
1,AAPL,Monday,Wednesday,0.5107837769154979,0.6755363000101424,False,False,138,3,7
1,AAPL,Tuesday,Wednesday,0.994520485220436,0.3976311410901816,False,False,138,3,7
1,AAPL,Thursday,Wednesday,0.05453248860887091,0.9831628490120558,False,False,138,3,7
1,AAPL,Friday,Wednesday,1.4989412668019797,0.21787493837151883,False,False,138,3,7
1,AAPL,Monday,Thursday,1.2172957748165676,0.30607765704136525,False,False,138,3,7
1,AAPL,Tuesday,Thursday,2.8285110230848303,0.041059652483852904,True,False,138,3,7
1,AAPL,Wednesday,Thursday,0.9781926731155026,0.4052004767908215,False,False,138,3,7
1,AAPL,Friday,Thursday,1.4462172550625443,0.23233213887035786,False,False,138,3,7
1,AAPL,Monday,Friday,2.6187114906754365,0.05362355021228826,False,False,138,3,7
1,AAPL,Tuesday,Friday,1.5087773509180267,0.21527327282773423,False,False,138,3,7
1,AAPL,Wednesday,Friday,0.796923034901565,0.4977026760557012,False,False,138,3,7
1,AAPL,Thursday,Friday,1.6802685435576166,0.17437804584421435,False,False,138,3,7
2,AAPL,Tuesday,Monday,2.1088225576202047,0.10215070688799222,False,False,139,3,7
2,AAPL,Wednesday,Monday,0.8693187356968491,0.4588475274505348,False,False,139,3,7
2,AAPL,Thursday,Monday,1.2887965789953608,0.28096832187312315,False,False,139,3,7
2,AAPL,Friday,Monday,1.246757251956683,0.29547409142200043,False,False,139,3,7
2,AAPL,Monday,Tuesday,1.1670677780059138,0.3248582003398093,False,False,139,3,7
2,AAPL,Wednesday,Tuesday,0.641425247719618,0.5896862180908014,False,False,139,3,7
2,AAPL,Thursday,Tuesday,2.9887987870730526,0.03344255455772538,True,False,139,3,7
2,AAPL,Friday,Tuesday,1.4319755460855619,0.23635029864390344,False,False,139,3,7
2,AAPL,Monday,Wednesday,0.7865388357977484,0.5034648142192695,False,False,139,3,7
2,AAPL,Tuesday,Wednesday,1.9929030157168632,0.1181470241249476,False,False,139,3,7
2,AAPL,Thursday,Wednesday,3.0536310523678685,0.03078629184874815,True,False,139,3,7
2,AAPL,Friday,Wednesday,1.3259574791690407,0.2686936051317552,False,False,139,3,7
2,AAPL,Monday,Thursday,1.9655439973797268,0.12226381910589612,False,False,139,3,7
2,AAPL,Tuesday,Thursday,0.9646321672238553,0.41155582447742445,False,False,139,3,7
2,AAPL,Wednesday,Thursday,1.1040637829451474,0.3499254331072341,False,False,139,3,7
2,AAPL,Friday,Thursday,1.0069843758264625,0.39190895523504476,False,False,139,3,7
2,AAPL,Monday,Friday,4.787401862370591,0.003367908084187632,True,True,139,3,7
2,AAPL,Tuesday,Friday,2.0055561028269335,0.11628891161958366,False,False,139,3,7
2,AAPL,Wednesday,Friday,2.1222584008455305,0.10043915485462329,False,False,139,3,7
2,AAPL,Thursday,Friday,0.4938621987917773,0.6871506379191119,False,False,139,3,7
3,AAPL,Tuesday,Monday,0.8877289592105423,0.4495102346643227,False,False,133,3,7
3,AAPL,Wednesday,Monday,2.315130825705437,0.07899368541291962,False,False,133,3,7
3,AAPL,Thursday,Monday,0.7214040094597275,0.5410037150617358,False,False,133,3,7
3,AAPL,Friday,Monday,0.38594356978353267,0.7633111891295503,False,False,133,3,7
3,AAPL,Monday,Tuesday,1.0565217283173365,0.3701409872386111,False,False,133,3,7
3,AAPL,Wednesday,Tuesday,3.258410561945345,0.023852025143952016,True,False,133,3,7
3,AAPL,Thursday,Tuesday,3.542246098349243,0.016614178795602785,True,False,133,3,7
3,AAPL,Friday,Tuesday,1.0758444879465217,0.3618818353297151,False,False,133,3,7
3,AAPL,Monday,Wednesday,0.49070901100724873,0.6893559763107431,False,False,133,3,7
3,AAPL,Tuesday,Wednesday,0.9380512510989043,0.42445967456698575,False,False,133,3,7
3,AAPL,Thursday,Wednesday,10.708778116542964,2.5553649627418906e-06,True,True,133,3,7
3,AAPL,Friday,Wednesday,5.59270327880578,0.001238672151566922,True,True,133,3,7
3,AAPL,Monday,Thursday,0.7874836206006237,0.5030440747295708,False,False,133,3,7
3,AAPL,Tuesday,Thursday,0.07837565635510309,0.9716066147324134,False,False,133,3,7
3,AAPL,Wednesday,Thursday,1.3391572033733123,0.2646831976875337,False,False,133,3,7
3,AAPL,Friday,Thursday,1.0094413144857435,0.3909600142314369,False,False,133,3,7
3,AAPL,Monday,Friday,0.26512883713578334,0.8504185398600312,False,False,133,3,7
3,AAPL,Tuesday,Friday,2.313692206113726,0.07913715417941658,False,False,133,3,7
3,AAPL,Wednesday,Friday,0.7554087953174833,0.5212046564681505,False,False,133,3,7
3,AAPL,Thursday,Friday,2.641725248173679,0.052256873698340534,False,False,133,3,7
